Ordu,Kumru,31209,29945,28357
Ordu,Mesudiye,16576,16809,12944
Ordu,Persembe,31702,31542,30558
Ordu,Ulubey,19903,19450,19289
Ordu,Camas,9070,9058,8935
Ordu,Catalpinar,14168,13809,13260
Ordu,Caybasi,13643,12687,11959
Ordu,Unye,118910,128101,134771
Ordu,Ikizce,15225,14570,13389
Osmaniye,Bahce,21042,22155,23069
Osmaniye,Duzici,80430,84133,86929
Osmaniye,Hasanbeyli,4623,4782,5003
Osmaniye,Kadirli,119047,125083,127657
Osmaniye,Osmaniye Merkez,249136,268647,282645
Osmaniye,Sumbas,14841,13840,13240
Osmaniye,Toprakkale,17688,20119,22518
